Pyrophorus;mexicanus Champ. ? syn;Elateridae;Col;;Neotrop;Mexico (Ramos 2004);see Deilelater or Lacon mexicana Cand.;larva
Pyrophorus;pellucens Esch.;Elateridae;Col;;Neotrop;"Mexico (Ramos & Pino Moreno
2002, Ramos 2004)";M;larva adult
Pyrophorus sp.;;Elateridae;Col;click beetle;Neotrop;West Indies (DeFoliart 2002);;adult ?
Austrelmis;chilensis (Germain);Elmidae;Col;;Neotrop;Chile Peru? (DeFoliart 2002) Peru;;adult
Austrelmis;condimentarius (Philippi);Elmidae;Col;;Neotrop;"Peru Chile? (DeFoliart 2002, Jäch
2003) Chile (Ramos et al 2009)";;adult
Dichomorpha sp.;;Erotylidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Gyrinus;parcus Say;Gyrinidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Gyrinus;plicatus Régimb.;Gyrinidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Haliplus;punctatus Aubé;Haliplidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Haliplus sp.;;Haliplidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Peltodytes;mexicanus (Wehncke);Haliplidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Peltodytes;ovalis Zimm.;Haliplidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Hololepta;guidonis Marseul;Histeridae;Col;;Neotrop;Mexico (Ramos et al 2009);;
Hololepta sp.;;Histeridae;Col;;Neotrop;"Mexico (DeFoliart 2002; Ramos";;larva
Berosus sp.;;Hydrophilidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
"Dibolocelus sp. is
Hydrophilus";;Hydrophilidae;Col;;Neotrop;"Mexico (Ramos & Pino Moreno
2002, Ramos 2004)";;adult
Tropisternus;mexicanus Lap.;Hydrophilidae;Col;;Neotrop;"Mexico (Ramos 2004) Panama S.
America (Ramos et al 2009)";;larva adult
Tropisternus;sublaevis (LeC.);Hydrophilidae;Col;;Neotrop;"Mexico (Ramos 2004, Ramos et al
2009)";;larva adult
Tropisternus;tinctus Sharp;Hydrophilidae;Col;;Neotrop;Mexico (DeFoliart 2002, Ramos 2004);;larva pupa adult
Tropisternus sp.;;Hydrophilidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Lucanus sp.;;Lucanidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Lucanus syn;virescens F.;Lucanidae;Col;;Neotrop;Mexico (Ramos 2004);see Platycerus virescens;larva
Platycerus;virescens (F.);Lucanidae;Col;;Neotrop;Mexico (Ramos 2004);syn Lucanus virescens F.;larva
Sphaenognathus;feisthamelii (Guërin);Lucanidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Sphaenognathus;lindenii Murray;Lucanidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Sphaenognathus;"metallifer Bomans &
Lacroix";Lucanidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Meloe;dugesi Champ.;Meloidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno;M;adult
Meloe;laevis Leach;Meloidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno;M;adult
Meloe;nebulosus Champ.;Meloidae;Col;;Neotrop;"Mexico (Ramos & Pino Moreno
2002, Ramos 2004)";M;larva adult
Meloe sp.;;Meloidae;Col;;Neotrop;Mexico (Ramos 2004);;adult
Suphisellus sp.;;Noteridae;Col;;Neotrop;Mexico (Ramos 2004, Ramos et al;not Dytiscidae!;
Heliscus;yucatanus Bates;Passalidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Odontotaenius;striatopunctatus Perch.;Passalidae;Col;;Neotrop;Mexico (Ramos 2004);syn Popilius;larva
Odontotaenius;yucatanus Bates;Passalidae;Col;;Neotrop;Mexico (Ramos 2004);syn Popilius;larva
Odontotaenius;zodiacus Truq.;Passalidae;Col;;Neotrop;Mexico (Ramos 2004);syn Popilius;larva
Oileus;rimator Truqui;Passalidae;Col;;Neotrop;"Mexico (DeFoliart 2002, Ramos
2004)";;larva pupa
Passalidae gen.;;Passalidae;Col;;Neotrop;Colombia Paraguay (DeFoliart 2002);;larva adult
Passalus;interruptus L.;Passalidae;Col;;Neotrop;Suriname (DeFoliart 2002);;larva
Passalus;interstitialis Esch.;Passalidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Passalus;punctiger Lep. & Serv.;Passalidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Passalus;puntatostriatus Perch.;Passalidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa
Passalus sp.;af. punctiger Lep. & Serv.;Passalidae;Col;;Neotrop;"Mexico (DeFoliart 2002, Ramos
2004)";af. punctiger Lep. & S.;larva pupa
Passalus sp.;;Passalidae;Col;;Neotrop;Mexico (Ramos et al 1998, Ramos;;larva
Paxillus;leachi MacLeay;Passalidae;Col;;Neotrop;"Mexico (DeFoliart 2002, Ramos
2004)";;larva pupa
Popilius syn;striatopunctatus (Perch.);Passalidae;Col;;Neotrop;Mexico (Ramos 2004);see Odontotaenius;larva
Popilius syn;yucatanus (Bates);Passalidae;Col;;Neotrop;Mexico (Ramos 2004);see Odontotaenius;larva
Popilius syn;zodiacus (Truq.);Passalidae;Col;;Neotrop;Mexico (Ramos 2004);see Odontotaenius;larva
Verres;corticicola (Truq.);Passalidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Veturius;sinuosus (Drapiez);Passalidae;Col;;Neotrop;Colombia (Paoletti et al 2001);;larva
Ancognatha;castanea Erichson;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Ancognatha;jamesoni Murray;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Ancognatha;vulgaris Arrow;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Ancognatha sp.;;Scarabaeidae;Col;;Neotrop;Colombia (DeFoliart 2002);;larva
Canthon;"humectus hidalgoensis
Bates";Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;
Chrysina;macropus (Franc.);Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Clavipalpus;antisanae Bates;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Coelosis;biloba (L.);Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Cotinis;mutabilis Gory & Perch.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2006);;
Cyclocephala;capitata Hohne;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Cyclocephala;fasciolata Bates;Scarabaeidae;Col;;Neotrop;"Mexico (Ramos & Pino Moreno
2002, Ramos 2004)";;larva adult
Cyclocephala;guttata Bates;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Cyclocephala sp.;;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Democrates;burmeisteri Reiche;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Diloboderus sp.;;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);not Hydrophilidae !;larva
Dynastes;hercules (L.);Scarabaeidae;Col;;Neotrop;"Mexico (Ramos 2004) Brazil (Costa
Neto & Ramos 2006) Ecuador";;larva
Dynastes;hyllus Chev.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Dynastes sp.;;Scarabaeidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno;;larva
Enema;pan (F.);Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Geniatosoma;nigrum (Ohaus);Scarabaeidae;Col;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva
Geotrupes sp.;;Scarabaeidae;Col;;Neotrop;Mexico (Ramos et al 2008);;larva
Goliathus;goliathus Zucht.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos et al 2008);;larva adult
Golofa;aegeon (Drury);Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Golofa;eacus Burmeister;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Golofa;imperialis Thomson;Scarabaeidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;larva pupa adult
Golofa;tersander Burmeister;Scarabaeidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;larva pupa adult
Golofa;unicolor (Bates);Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva adult
Heterogomphus;bourcieri Guërin;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Isonychus;ocellatus Burm.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos et al 2008);;adult
Macrodactylus;dimidiatus Guér.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos et al 2008);;adult
Macrodactylus;leneatus Chev.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos et al 2008);;adult
Megaceras;crassum Prell;Scarabaeidae;Col;;Neotrop;"Colombia (Dufour 1987, DeFoliart
2002) Peru (Cases Reategui et al";;adult larva
Megaceras sp.;;Scarabaeidae;Col;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva
Megasoma;actaeon (L.);Scarabaeidae;Col;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva adult
Megasoma;anubis (Chevrolat);Scarabaeidae;Col;;Neotrop;Brazil (DeFoliart 2002);syn M. hector Gory;larva
Megasoma;elephas (F.);Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Megasoma;"elephas occidentalis B. &
P.";Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Megasoma;hector Gory syn;Scarabaeidae;Col;;Neotrop;Brazil (DeFoliart 2002);see M. anubis;larva
Megasoma sp.;;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Melolontha sp.;;Scarabaeidae;Col;;Neotrop;Mexico (Ramos et al 1998, DeFoliart;;larva
Pelidnota syn missp.;nigricauda Bates;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);missp. see Platycoelia nigricauda Bates = P. parva Kirsch;larva adult
Phyllophaga;mexicana (Blanch.);Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Phyllophaga;rubella (Bates);Scarabaeidae;Col;;Neotrop;Mexico (DeFoliart 2002);;larva
Phyllophaga;rugipennis (Schaufuss);Scarabaeidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;larva pupa adult
Phyllophaga sp.;;Scarabaeidae;Col;;Neotrop;"Mexico (Ramos et al 1998, 2007,
DeFoliart 2002, Ramos 2004, 2006)";;larva pupa adult
"Phyllophaga sp. aff. lenis
(Horn)";;Scarabaeidae;Col;;Neotrop;Mexico (Ramos et al 2008);;larva adult
Platycoelia;forcipales Ohaus;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Platycoelia;lutescens Blanchard;Scarabaeidae;Col;;Neotrop;"Ecuador (Smith & Paucar 2000,
Onore 2005)";;larva adult
Platycoelia;parva Kirsch;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);syn P. nigricauda Bates;larva
Platycoelia;rufosignata Ohaus;Scarabaeidae;Col;;Neotrop;Ecuador (Onore 2005);;larva
Podischnus;agenor (Ol.);Scarabaeidae;Col;;Neotrop;"Colombia Venezuela (Ruddle 1973,
DeFoliart 2002)";;larva adult
Strategus;aloeus aloeus (L.);Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004, 2006);;adult
Strategus;aloeus julianus Burm.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;adult
Strategus;fallaciosus Kolbe;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Strategus sp.;;Scarabaeidae;Col;;Neotrop;"Mexico (DeFoliart 2002 Ramos
2004) Brazil (Costa Neto & Ramos";;larva adult
Xyloryctes;corniger Bates;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Xyloryctes;ensifer Bates;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva pupa adult
Xyloryctes;furcatus Burm.;Scarabaeidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Xyloryctes;teuthras Bates;Scarabaeidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;larva pupa adult
Xyloryctes;thestalus Bates;Scarabaeidae;Col;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;larva pupa adult
Xyloryctes sp.;;Scarabaeidae;Col;;Neotrop;Mexico (DeFoliart 2002);;larva pupa
Diloboderus sp. !!;;"Scarabaeidae not
Hydrophilidae!";Col;;Neotrop;Mexico (Ramos 2004);"Scarabaeidae not
Hydrophilidae!";adult
Oxytelus;rugulosus Say;Staphylinidae;Col;;Neotrop;Mexico (Ramos 2004);;larva adult
Eleodes;blapoides Esch.;Tenebrionidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Eleodes;spinipes Sol.;Tenebrionidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Eleodes sp.;;Tenebrionidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Sitophagus sp.;;Tenebrionidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Tenebrio;molitor L.;Tenebrionidae;Col;;Neotrop;"Mexico (DeFoliart 2002, Ramos
2004, 2009)";;larva pupa
Tenebrio sp.;;Tenebrionidae;Col;;Neotrop;Mexico (Ramos 2004);;larva
Tribolium;castaneum (Herbst);Tenebrionidae;Col;red flour beetle;Neotrop;Mexico (Ramos 2009);;
Tribolium;confusum Du Val;Tenebrionidae;Col;confused flour;Neotrop;Mexico (Ramos 2009);;
Ulomoides;dermestoides (Fairm.);Tenebrionidae;Col;Palembus;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva adult
Zophobas;morio F.;Tenebrionidae;Col;super worm;Neotrop;Mexico (Ramos 2004, 2009);;larva
Zophobas sp.;;Tenebrionidae;Col;;Neotrop;Venezuela (Araujo & Beserra 2007);;larva
Zopherus;jourdani Sallé;Zopheridae;Col;;Neotrop;Mexico (Ramos & Pino Moreno;M;adult
Zopherus;mexicanus Gray;Zopheridae;Col;;Neotrop;Mexico (Ramos 2004);;adult
Blattella;germanica (L.);Ectobiidae;"Dictyopter
a";cockroaches;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";M;adult
Blattidae gen.;;Blattidae;"Dictyopter
a";cockroaches;Neotrop;Mexico (DeFoliart 2002);M;
Periplaneta;americana L.;Blattidae;"Dictyopter
a";cockroaches;Neotrop;"Brazil (Costa Neto & Ramos 2006)
Mexico (Ramos 2009)";;
Periplaneta;australasia (Fab.);Blattidae;"Dictyopter
a";cockroaches;Neotrop;Mexico (Ramos et al 2008);;adult
Blaberus;craniifer Burm.;Blattidae;"Dictyopter
a";"death's head
cockroache";Neotrop;Mexico (Ramos et al 2008);;adult
Pseudomops sp.;;Ectobiidae;"Dictyopter
a";cockroaches;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";M;adult
aquatic diptera;;"Chironomidae
Culicidae";Dipt;;Neotrop;Bolivia (DeFoliart 2002);;
Drosophila;melanogaster Meigen;Drosophilidae;Dipt;common fruit fly;Neotrop;Mexico (Ramos 2009);;
Ephydra;hians Say;Ephydridae;Dipt;alkali fly;Neotrop;Mexico (Ramos 2009, Ramos et al 1998, DeFoliart 2002);Ephydra (Hydropyrus) hians;larva pupa adult
Mosillus;tibialis Cresson;Ephydridae;Dipt;;Neotrop;Mexico (DeFoliart 2002);;larva
Musca;domestica L.;Muscidae;Dipt;;Neotrop;"Mexico (Ramos 2009, Ramos et al
1998, DeFoliart 2002)";;larva pupa
Simulium;rubrithorax Lutz;Simuliidae;Dipt;black flies;Neotrop;"Brazil (DeFoliart 2002, Costa Neto &
Ramos 2006)";;larva adult
Chrysochlorina sp.;;Stratiomyidae;Dipt;soldier flies;Neotrop;Colombia Venezuela (Ruddle 1973,;;larva
Stratiomyidae gen.;;Stratiomyidae;Dipt;soldier flies;Neotrop;Mexico (DeFoliart 2002);;larva
Copestylum;anna (Williston);Syrphidae;Dipt;;Neotrop;Mexico (Ramos et al 1998);;larva
Copestylum;haagii (Jaennicke);Syrphidae;Dipt;;Neotrop;Mexico (DeFoliart 2002);;larva
Eristalis sp.;;Syrphidae;Dipt;;Neotrop;Mexico (Ramos et al 1998);;larva
Anastrepha;ludens (Loew);Tephritidae;Dipt;Mexican fruit fly;Neotrop;Mexico (Ramos 2009);;
Baetis sp.;;Baetidae;Eph;may fly;Neotrop;Mexico (Ramos et al 1998);;nymph
Epemera sp.;;Ephemeridae;Eph;may fly;Neotrop;Mexico (Ramos et al 1998);;nymph
Abedus;dilatutus (Say);Belostomatidae;Hem Het;giant water bug;Neotrop;Mexico (Ramos et al 1998);;nymph adult
Abedus;ovatus Stal;Belostomatidae;Hem Het;giant water bug;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Abedus sp.;;Belostomatidae;Hem Het;giant water bug;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;nymph adult
Belostoma;micantulum (Stal);Belostomatidae;Hem Het;giant water bug;Neotrop;Venezuela (Araujo & Beserra 2007);;adult
Belostoma sp.;;Belostomatidae;Hem Het;giant water bug;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;nymph adult
Lethocerus sp.;;Belostomatidae;Hem Het;giant water bug;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Acanthocephala;luctuosa Stal;Coreidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Acanthocephala sp.;;Coreidae;Hem Het;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;nymph adult
Thasus;gigas (Klug);Coreidae;Hem Het;giant mesquite bug;Neotrop;"Mexico (Ramos 2006, Ramos et al
1998, DeFoliart 2002)";syn Pachylis gigas;nymph adult
Corisella;edulis (Champion);Corixidae;Hem Het;water boatman;Neotrop;Mexico (Ramos et al 1998, DeFoliart 2002);;egg nymph adult
Corisella;mercenaria (Say);Corixidae;Hem Het;water boatman;Neotrop;"Mexico (Ramos 2006, 2009, Ramos
et al 1998, DeFoliart 2002)";;egg nymph adult
Corisella;texcocana Jacz.;Corixidae;Hem Het;water boatman;Neotrop;"Mexico (Ramos 2006, 2009, Ramos
et al 1998, Cerritos 2009)";;egg adult
Graptocorixa;abdominalis (Say);Corixidae;Hem Het;water boatman;Neotrop;"Mexico (Ramos 2006, 2009, Ramos
et al 1998, Cerritos 2009)";;egg nymph adult
Graptocorixa;bimaculata (Guérin);Corixidae;Hem Het;water boatman;Neotrop;Mexico (Cerritos 2009, Ramos 2006,;;egg
Graptocorixa sp.;;Corixidae;Hem Het;;Neotrop;Mexico (Ramos & Pino Moreno 2002);;egg nymph adult
Krizousacorixa;azteca (Jacz.);Corixidae;Hem Het;water boatman;Neotrop;"Mexico (Ramos 2006, 2009, Ramos
et al 1998, DeFoliart 2002)";;egg nymph adult
Krizousacorixa;femorata Guér.;Corixidae;Hem Het;water boatman;Neotrop;"Mexico (Ramos 2006, 2009, Ramos
et al 1998, DeFoliart 2002)";;egg nymph adult
Neortholomus sp.;;Lygaeidae;Hem Het;;Neotrop;Mexico (Ramos et al 2007);;nymph adult
Umbonia;reclinata (Germar);Membracidae;Hem Het;;Neotrop;Mexico (Ramos et al 2007);;nymph adult
Ambrysus;stali La Rivers;Naucoridae;Hem Het;;Neotrop;Venezuela (Araujo & Beserra 2007);;adult
Ambrysus;usingeri La Rivers;Naucoridae;Hem Het;;Neotrop;Venezuela (Araujo & Beserra 2007);;adult
Limnocorus;cf. minutus De Carlo;Naucoridae;Hem Het;;Neotrop;Venezuela (Araujo & Beserra 2007);;adult
Naucoridae gen.;;Naucoridae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Notonecta;unifasciata Guér.;Notonectidae;Hem Het;backswimmer;Neotrop;Mexico (Ramos et al 1998, DeFoliart 2002);;egg nymph adult
Notonecta sp.;;Notonectidae;Hem Het;;Neotrop;Mexico (Ramos et al 1998, Ramos & Pino Moreno 2002);;egg nymph adult
Atizies syn;taxcoensis Ancona;Pentatomidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);see Edessa;nymph adult
Brochymena;tenebrosa Walker;Pentatomidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Chlorocoris sp.;;Pentatomidae;Hem Het;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";M;nymph adult
Dendrocerus;sufultus (Distant);Pentatomidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);"syn Euschistus suffultus
Distant";nymph adult
Edessa;conspersa Stal;Pentatomidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Edessa;cordifera (Walker);Pentatomidae;Hem Het;;Neotrop;"Mexico (Ramos 2009, Ramos et al
1998)";;nymph adult
Edessa;mexicana Stal;Pentatomidae;Hem Het;;Neotrop;"Mexico (Ramos et al, DeFoliart
2002)";;nymph adult
Edessa;montezuma Distant;Pentatomidae;Hem Het;;Neotrop;Mexico (Ramos et al 1998);;
Edessa;petersii Distant;Pentatomidae;Hem Het;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;nymph adult
Edessa;rufomarginata (DeGeer);Pentatomidae;Hem Het;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";M;nymph adult
Edessa;taxcoensis (Ancona);Pentatomidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);"syn Atizies taxcoensis
Ancona";nymph adult
Edessa sp.;;Pentatomidae;Hem Het;;Neotrop;Mexico (Ramos et al 1998);;nymph adult
Euschistus;crenator (F.);Pentatomidae;Hem Het;;Neotrop;"Mexico (DeFoliart 2002, Yen et al
2013))";;nymph adult
Euschistus;lineatus Walk;Pentatomidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Euschistus;strenuus Stal;Pentatomidae;Hem Het;;Neotrop;"Mexico (Ramos et al 1998) DeFoliart
2002)";;nymph adult
Euschistus sp.;;Pentatomidae;Hem Het;;Neotrop;Mexico (Ramos et al 1998);;nymph adult
Mormidea;notulata (H.-S.);Pentatomidae;Hem Het;;Neotrop;Mexico (Acuña et al 2011);;adult
Pentatomidae gen.;;Pentatomidae;Hem Het;stink bug;Neotrop;Ecuador (DeFoliart 2002);;adult
Pharypia;fasciata (Haglund);Pentatomidae;Hem Het;;Neotrop;Mexico (DeFoliart 2002);;nymph adult
Proxys;punctulatus (Palisot);Pentatomidae;Hem Het;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";;nymph adult
Dysdircus sp.;;Pyrrhocoridae;Hem Het;;Neotrop;Mexico (Ramos et al 2008);;adult
Aphididae gen.;;Aphididae;Hem Hom;aphid;Neotrop;Mexico (DeFoliart 2002);;honeydew
Cicada syn;montezuma Distant;Cicadidae;Hem Hom;;Neotrop;Mexico (Ramos & Pino Moreno;;adult
Fidicinoides;picea (Walker);Cicadidae;Hem Hom;;Neotrop;Mexico (Ramos et al 2008);;nymph adult
Proarna sp.;;Cicadidae;Hem Hom;;Neotrop;Mexico (DeFoliart 2002);;adult
Quesada;gigas (Olivier);Cicadidae;Hem Hom;;Neotrop;Mexico (Ramos & Pino Moreno;;adult
Tibicen;montezuma (Distant);Cicadidae;Hem Hom;;Neotrop;"Mexico (Ramos & Pino Moreno
2002)";syn Cicada montezuma;adult
Tibicen;pruinosa (Say);Cicadidae;Hem Hom;annual cicada;Neotrop;Mexico (DeFoliart 2002);;adult
Tibicen sp.;;Cicadidae;Hem Hom;;Neotrop;Mexico (Ramos & Pino Moreno;;adult
Aeneolamia;postica (Walker);Cercopidae;Hem Hom;spittl bug;Neotrop;Mexico (Ramoos et al 2007);;nymph
Dactylopius;confusus (Cockerell);Dactylopidae;Hem Hom;cochineal insect;Neotrop;Mexico (Ramos 2009, Ramos et al;;adult
Dactylopius;indicus Green;Dactylopidae;Hem Hom;cochineal insect;Neotrop;Mexico (Ramos 2009, Ramos et al;;adult
Dactylopius;coccus Costa;Dactylopiidae;Hem Hom;cochineal insect;Neotrop;"South America Mexico (Ramos 2009, Ramos et al 1998, Aldama-
Aguilera et al 2005)";;adult carminic acid
Dactylopius;tomentosus Lamarck;Dactylopiidae;Hem Hom;cochineal insect;Neotrop;Mexico (Ramos et al 1998);;adult
Anthiante;expensa Germar;Membracidae;Hem Hom;;Neotrop;Mexico (Ramos et al 1998);;nymph adult
Hoplophorion;monogramma Germar;Membracidae;Hem Hom;;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;nymph adult
Umbonia;orizabae Fowler;Membracidae;Hem Hom;;Neotrop;Mexico (Ramos et al 2008);"U. orizaba Buckton is
missp.";adult
Umbonia;reclinata Germar;Membracidae;Hem Hom;thorn bug;Neotrop;"Mexico (Ramos et al 1998, DeFoliart
2002)";;nymph adult
Umbonia;spinosa (F.);Membracidae;Hem Hom;tree hopper;Neotrop;"Brazil (DeFoliart 2002) Ecuador
(Onore 2005) Colombia (Paoletti et";;adult
Umbonia sp.;;Membracidae;Hem Hom;;Neotrop;Mexico (DeFoliart 2002);;adult
Carineta;fimbriata Distant;Tibicinidae;Hem Hom;;Neotrop;Ecuador (Onore 2005);;adult
Apis;mellifera L.;Apidae;Hym;;Neotrop;"nearly pan-regional West Indies
(Ramos 2006, DeFoliart 2002)";;larva pupa
Axestotrigona sp.;;Apidae;Hym;;Neotrop;Brazil (Ramos, Costa Neto et al;;
Bombus;atratus Franklin;Apidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Bombus;diligens Smith;Apidae;Hym;;Neotrop;Mexico (DeFoliart 2002, Ramos 2009, Ramos & Pino Moreno 2002));M;adult larva egg pupa honey
Bombus;ecuadorius Meunier;Apidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Bombus;ephippiatus Say;Apidae;Hym;;Neotrop;"Mexico (Ramos 2009, Ramos et al
1998, DeFoliart 2002)";syn B. formusus Smith;adult
Bombus;formosus Smith syn;Apidae;Hym;;Neotrop;Mexico (DeFoliart 2002);see B. ephippiatus Say;adult
Bombus;funebris Smith;Apidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Bombus;medius Cresson;Apidae;Hym;;Neotrop;Mexico (DeFoliart 2002, Ramos;;adult
Bombus;robustus Smith;Apidae;Hym;;Neotrop;Ecuador (Onore 2005);;larva
Bombus;rufocinctus Cresson;Apidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);M;larva pupa honey
Bombus sp.;;Apidae;Hym;;Neotrop;Mexico (Ramos et al 1998, Ramos & Pino Moreno 2002);;egg larva pupa honey
Cephalotrigona;capitata (Smith);Apidae;Hym;;Neotrop;"Brazil (Costa Neto & Ramos 2006)
Argentine (Zamudio & Hilgert 2012)";;honey
Cephalotrigona;femorata (Smith);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);;larva pupa honey pollen
Cephalotrigona;zexmemiae (Cockerel);Apidae;Hym;;Neotrop;Mexico (Ramos & Pino Moreno 2002);M;egg larva pupa honey
Duckeola;ghilianii (Spinola);Apidae;Hym;;Neotrop;Brazil (Costa Neto & Ramos 2006);syn Trigona ghillianii;larva pupa pollen
